seed,test_window_index,scale,router_weight
42,149,1,0.25166490674018854
42,149,2,0.1667174994945526
42,149,4,0.5816175937652588
42,150,1,0.2560793161392212
42,150,2,0.16845758259296417
42,150,4,0.5754631161689758
42,151,1,0.24817489087581637
42,151,2,0.16530288755893707
42,151,4,0.5865222215652466
42,152,1,0.24739444255828855
42,152,2,0.1649286150932312
42,152,4,0.5876768827438353
42,153,1,0.2353079617023468
42,153,2,0.15999272465705872
42,153,4,0.6046993136405945
42,154,1,0.2130572199821472
42,154,2,0.15047207474708557
42,154,4,0.6364706754684448
42,155,1,0.20224896073341367
42,155,2,0.14445140957832336
42,155,4,0.6532995700836182
42,156,1,0.19331358373165128
42,156,2,0.13881811499595642
42,156,4,0.6678683161735535
42,157,1,0.19176639616489408
42,157,2,0.13782842457294464
42,157,4,0.6704051494598389
42,158,1,0.19045761227607727
42,158,2,0.13700610399246216
42,158,4,0.6725362539291382
42,159,1,0.18907473981380463
42,159,2,0.13614356517791748
42,159,4,0.6747816801071167
42,160,1,0.19076353311538696
42,160,2,0.13726158440113068
42,160,4,0.6719748973846436
42,161,1,0.19304578006267548
42,161,2,0.13877689838409424
42,161,4,0.6681773066520691
42,162,1,0.1979324370622635
42,162,2,0.1419291794300079
42,162,4,0.6601384282112122
42,163,1,0.20515263080596924
42,163,2,0.14637236297130585
42,163,4,0.6484749913215637
42,164,1,0.22432222962379453
42,164,2,0.15551039576530457
42,164,4,0.6201674342155457
42,165,1,0.24355024099349973
42,165,2,0.1635848432779312
42,165,4,0.5928649306297302
42,166,1,0.232512041926384
42,166,2,0.15908631682395935
42,166,4,0.6084016561508179
42,167,1,0.2371472269296646
42,167,2,0.16105951368808746
42,167,4,0.6017932295799255
42,168,1,0.23855225741863248
42,168,2,0.16168899834156036
42,168,4,0.5997587442398071
42,169,1,0.23074716329574585
42,169,2,0.15846867859363556
42,169,4,0.6107841730117798
42,170,1,0.2420012056827545
42,170,2,0.16312579810619354
42,170,4,0.5948729515075684
42,171,1,0.24156312644481656
42,171,2,0.1629507541656494
42,171,4,0.5954861044883728
42,172,1,0.2571083605289459
42,172,2,0.169150710105896
42,172,4,0.5737409591674805
42,173,1,0.2505880892276764
42,173,2,0.16662240028381348
42,173,4,0.5827895402908325
42,174,1,0.264902800321579
42,174,2,0.1721966564655304
42,174,4,0.5629004836082457
42,175,1,0.27490878105163574
42,175,2,0.1760066449642181
42,175,4,0.5490845441818237
42,176,1,0.27128589153289795
42,176,2,0.17474099993705747
42,176,4,0.5539730787277222
42,177,1,0.26434949040412903
42,177,2,0.1722317934036255
42,177,4,0.5634187459945679
42,178,1,0.2658004462718964
42,178,2,0.1729394495487213
42,178,4,0.5612601637840271
42,179,1,0.2494077682495117
42,179,2,0.16673842072486875
42,179,4,0.5838537812232971
42,180,1,0.2441348135471344
42,180,2,0.16478927433490753
42,180,4,0.5910759568214417
42,181,1,0.23511794209480283
42,181,2,0.16124877333641052
42,181,4,0.6036332249641417
42,182,1,0.23957359790802
42,182,2,0.16326789557933807
42,182,4,0.5971584916114807
42,183,1,0.2324645668268204
42,183,2,0.16046561300754547
42,183,4,0.6070698499679564
42,184,1,0.2355399578809738
42,184,2,0.16194231808185575
42,184,4,0.6025177240371704
42,185,1,0.22968614101409912
42,185,2,0.1596325635910034
42,185,4,0.6106812953948976
42,186,1,0.2278580665588379
42,186,2,0.1589781939983368
42,186,4,0.6131637096405029
42,187,1,0.22893488407135007
42,187,2,0.15956497192382812
42,187,4,0.6115001440048218
42,188,1,0.22633118927478793
42,188,2,0.1585090607404709
42,188,4,0.615159809589386
42,189,1,0.2355870604515076
42,189,2,0.16258658468723297
42,189,4,0.6018263697624208
42,190,1,0.2291750460863113
42,190,2,0.15985634922981262
42,190,4,0.6109686493873596
42,191,1,0.22496074438095087
42,191,2,0.15804030001163483
