dataset,seed,test_window_index,alpha_1,alpha_2,alpha_4
geant,42,100,0.12789039313793182,0.3230803608894348,0.5490292310714722
geant,42,101,0.13071317970752716,0.31582826375961304,0.553458571434021
geant,42,102,0.1343526542186737,0.30699798464775085,0.5586494207382202
geant,42,103,0.13630221784114835,0.30212482810020447,0.5615729093551636
geant,42,104,0.13643476366996765,0.30229535698890686,0.5612698793411255
geant,42,105,0.13911598920822144,0.2957457900047302,0.5651382207870483
geant,42,106,0.14319318532943723,0.28596073389053345,0.5708460807800293
geant,42,107,0.14783914387226105,0.2749524116516113,0.577208399772644
geant,42,108,0.1543462574481964,0.26017993688583374,0.5854737162590027
geant,42,109,0.15392450988292694,0.26130402088165283,0.5847715139389038
geant,42,110,0.1590416580438614,0.2502744793891907,0.5906838774681091
geant,42,111,0.16183620691299438,0.24456162750720975,0.5936021804809569
geant,42,112,0.15806926786899567,0.252966433763504,0.5889642834663391
geant,42,113,0.14560425281524658,0.28148308396339417,0.5729126930236816
geant,42,114,0.13536109030246735,0.3069013059139252,0.5577375888824463
geant,42,115,0.11849517375230788,0.35298529267311096,0.5285195708274841
geant,42,116,0.11237997561693192,0.37145546078681946,0.5161645412445068
geant,42,117,0.11165091395378111,0.37384077906608576,0.5145083665847777
geant,42,118,0.10983134806156158,0.3796532154083252,0.5105155110359192
geant,42,119,0.11031411588191986,0.3780021369457245,0.5116837024688721
geant,42,120,0.1073925495147705,0.38687261939048767,0.5057348608970642
geant,42,121,0.10827424377202988,0.3839270770549774,0.5077986717224121
geant,42,122,0.10973186045885086,0.37943699955940247,0.5108311176300049
geant,42,123,0.11178693920373917,0.37283453345298767,0.5153785347938538
geant,42,124,0.11531177163124084,0.3619325459003448,0.5227556824684143
geant,42,125,0.1221156045794487,0.3420533537864685,0.535831093788147
geant,42,126,0.1282002478837967,0.3251554071903229,0.5466443300247192
geant,42,127,0.1303633153438568,0.3193177282810211,0.5503188967704773
geant,42,128,0.1326474696397781,0.3133143484592438,0.5540381073951721
geant,42,129,0.12783688306808472,0.32615622878074646,0.5460069179534912
geant,42,130,0.13182604312896729,0.31528520584106445,0.5528887510299683
geant,42,131,0.13841108977794647,0.2981552481651306,0.5634337067604065
